Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
Real-time data analysis,IoT,28,IOT-App,IOT-App,2000
Cloud computing,loT,12,EPS-Source,IOT-Network,2000
Wearable sensors,IoT,20,IOT-App,IOT-App,2000
Prototype,IoT,12,IOT-App,IOT-App,2000
Quality of service,QoS,16,IOT-App,EPS-Store,2000
IoT,mHealth,12,IOT-App,IOT-App,2000
Access Control,IoT,26,IOT-App,IOT-App,2000
Kubernetes,IoT,16,IOT-App,IOT-App,2000
threat model,IoT,12,IOT-App,IOT-App,2000
fog computing,IoT,89,IOT-App,IOT-App,2000
cloud platform,IoT,21,IOT-App,IOT-App,2000
Software Defined Networking,IoT,17,IOT-App,IOT-App,2000
Fog networking,IoT,11,IOT-App,IOT-App,2000
ECG,IoT,12,IOT-App,IOT-App,2000
Node-RED,IoT,14,IOT-App,IOT-App,2000
Security framework,IoT,11,IOT-App,IOT-App,2000
factory of the future,IoT,18,IOT-App,IOT-App,2000
security and privacy,IoT,11,IOT-App,IOT-App,2000
Context-aware system,IoT,11,IOT-App,IOT-App,2000
OGC SensorThings API,IoT,15,IOT-App,IOT-App,2000
network virtualization,IoT,15,IOT-App,IOT-App,2000
virtual network embedding,IoT,11,IOT-App,IOT-App,2000
MAC,IoT,15,IOT-App,IOT-App,2000
Industrial Internet of Things,Internet of Things,16,IOT-App,EPS-Source,2000
Mobile sink,IoT,12,IOT-App,IOT-App,2000
Raspberry Pi,IoT,30,IOT-App,IOT-App,2000
Smart objects,IoT,11,IOT-App,IOT-App,2000
IoT ecosystem,IoT,20,IOT-App,IOT-App,2000
Data privacy,IoT,32,IOT-App,IOT-App,2000
data collection,IoT,20,IOT-App,IOT-App,2000
Mobile Edge Computing,IoT,16,IOT-App,IOT-App,2000
Arduino,IoT,22,IOT-App,IOT-App,2000
Anonymity,IoT,15,IOT-App,IOT-App,2000
image processing,IoT,13,IOT-App,IOT-App,2000
Security and Privacy,IoT,12,IOT-App,IOT-App,2000
Smart Healthcare,IoT,12,IOT-App,IOT-App,2000
Simulation,IoT,15,IOT-App,IOT-App,2000
Cryptography,IoT,16,IOT-App,IOT-App,2000
indoor positioning,IoT,12,EPS-Source,IOT-App,2000
location based messaging,IoT,12,EPS-Source,IOT-App,2000
smart buildings,IoT,12,EPS-Source,IOT-App,2000
Decision-making,distribution network operator,12,EPS-Source,EPS-Source,2000
Distribution network operator,distribution network operator,12,EPS-Source,EPS-Source,2000
Multi-micro-grid,distribution network operator,12,EPS-Source,EPS-Source,2000
Multi follower bi-level programming,distribution network operator,12,EPS-Source,EPS-Source,2000
Demand response,distribution network operator,12,EPS-Source,EPS-Source,2000
Smart meter,PV,16,EPS-Source,EPS-Source,2000
Dynamic tariff,PV,16,EPS-Source,EPS-Source,2000
Mixed-integer non-linear programming,PV,16,EPS-Source,EPS-Source,2000
Net present value analysis,PV,16,EPS-Source,EPS-Source,2000
DC bus voltage,DC,12,EPS-Source,EPS-Source,2000
capacity outage probability table,PV,11,EPS-Source,EPS-Source,2000
loss of load expectation,PV,11,EPS-Source,EPS-Source,2000
loss of energy expectation,PV,11,EPS-Source,EPS-Source,2000
CC,PV,11,EPS-Source,EPS-Source,2000
capacity credit,PV,11,EPS-Source,EPS-Source,2000
ELCC,PV,11,EPS-Source,EPS-Source,2000
effective load carrying capability,PV,11,EPS-Source,EPS-Source,2000
Energy Management System,DC,12,EPS-Source,EPS-Source,2000
nergy storage system,PV,11,EPS-Source,EPS-Source,2000
mixed integer linear programming,PV,22,EPS-Source,EPS-Source,2000
optimization. nergy storage system,PV,11,EPS-Source,EPS-Source,2000
optimization. E,PV,11,EPS-Source,EPS-Source,2000
analytical model,WSN,12,EPS-Load,IOT-Network,2000
LPWAN,IoT,13,EPS-Load,IOT-App,2000
concurrent broadcast,Wi-Fi,12,EPS-Load,IOT-Network,2000
network flooding,Wi-Fi,12,EPS-Load,IOT-Network,2000
asynchronous duty cycle,Wi-Fi,12,EPS-Load,IOT-Network,2000
Edge computing,IoT,14,EPS-Load,IOT-App,2000
Cluster,IoT,13,EPS-Load,IOT-App,2000
Communication,IoT,13,EPS-Load,IOT-App,2000
Energy,IoT,13,EPS-Load,IOT-App,2000
Sensor nodes,IoT,13,EPS-Load,IOT-App,2000
Security in IoT,IoT,12,EPS-Store,IOT-App,2000
Denial of service attacks,IoT,12,EPS-Store,IOT-App,2000
Data analysis,IoT,12,EPS-Store,IOT-App,2000
Secure routing protocol,IoT,12,EPS-Store,IOT-App,2000
Remote laboratory,IoT,18,EPS-Store,IOT-App,2000
FPGA hardware design laboratory,IoT,18,EPS-Store,IOT-App,2000
IoT System design laboratory,IoT,18,EPS-Store,IOT-App,2000
Group-Group experiment,IoT,18,EPS-Store,IOT-App,2000
Hybrid cloud,IoT,18,EPS-Store,IOT-App,2000
Docker container,IoT,18,EPS-Store,IOT-App,2000
Analytical model,IoT,12,EPS-Store,IOT-App,2000
Heterogeneous and homogeneous multi server,IoT,12,EPS-Store,IOT-App,2000
Multi-class,IoT,12,EPS-Store,IOT-App,2000
Queuing system,IoT,12,EPS-Store,IOT-App,2000
Priority,IoT,12,EPS-Store,IOT-App,2000
virtualization,IoT,12,EPS-Store,IOT-App,2000
Genetic Algorithm,IoT,13,EPS-Store,IOT-App,2000
3D Printing,3D,12,EPS-Store,EPS-Store,2000
Cloud Platform,3D,12,EPS-Store,EPS-Store,2000
Remote Monitoring,3D,12,EPS-Store,EPS-Store,2000
Hybrid Architecture,3D,12,EPS-Store,EPS-Store,2000
Application Deployment,IoT,12,EPS-Store,IOT-App,2000
wind farm,DC,12,IOT-Percept,EPS-Source,2000
line fault,DC,12,IOT-Percept,EPS-Source,2000
Energy storage scheduling,energy storage,16,IOT-Percept,EPS-Source,2000
Network losses,energy storage,12,IOT-Percept,EPS-Source,2000
Renewable energy uncertainty,energy storage,12,IOT-Percept,EPS-Source,2000
Nomenclature,energy storage,12,IOT-Percept,EPS-Source,2000
bidirectional DC-DC converter,DC,13,IOT-Percept,EPS-Source,2000
Battery Management system,DC,11,IOT-Percept,EPS-Source,2000
NSC,DC,11,IOT-Percept,EPS-Source,2000
Nanogrid System Controller,DC,11,IOT-Percept,EPS-Source,2000
contract theory,EVs,13,IOT-Network,EPS-Source,2000
SW-WSN,WSN,12,IOT-Network,IOT-Network,2000
Small world WSN,WSN,12,IOT-Network,IOT-Network,2000
SWC,WSN,30,IOT-Network,IOT-Network,2000
small world characteristics,WSN,30,IOT-Network,IOT-Network,2000
energy balancing,WSN,12,IOT-Network,IOT-Network,2000
data latency,WSN,12,IOT-Network,IOT-Network,2000
node localization,WSN,18,IOT-Network,IOT-Network,2000
data MULEs,WSN,18,IOT-Network,IOT-Network,2000
throughput performance,WSN,18,IOT-Network,IOT-Network,2000
Secure data stream,IoT,14,IOT-Network,IOT-App,2000
Usability,IoT,14,IOT-Network,IOT-App,2000
Hadoop ecosystem,IoT,13,IOT-Network,IOT-App,2000
NDN,loT,15,IOT-Network,IOT-Network,2000
Named Data Networking,loT,15,IOT-Network,IOT-Network,2000
Forwarding,loT,15,IOT-Network,IOT-Network,2000
MDP,loT,15,IOT-Network,IOT-Network,2000
Markov Decision Process,loT,15,IOT-Network,IOT-Network,2000
Latency,loT,15,IOT-Network,IOT-Network,2000
Delay,loT,15,IOT-App,IOT-Network,2000
Smart security systems,IoT,12,IOT-Network,IOT-App,2000
Smart business,IoT,12,IOT-Network,IOT-App,2000
Radio Frequency identification,IoT,12,IOT-Network,IOT-App,2000
REID,IoT,12,IOT-Network,IOT-App,2000
Global Positioning System,IoT,24,IOT-Network,IOT-App,2000
GPS,IoT,14,IOT-Network,IOT-App,2000
Global System for Nlobile communication,IoT,12,IOT-Network,IOT-App,2000
GSNI,IoT,12,IOT-Network,IOT-App,2000
Short Nlessage Service,IoT,12,IOT-Network,IOT-App,2000
SNIS,IoT,12,IOT-Network,IOT-App,2000
cloud networking,IoT,12,IOT-Network,IOT-App,2000
fuzzy algorithm,IoT,12,IOT-Network,IOT-App,2000
Wireless Sensor Technology,IoT,12,IOT-Network,IOT-App,2000
GSM,IoT,12,IOT-Network,IOT-App,2000
FMCG,IoT,12,IOT-Network,IOT-App,2000
Fast Moving Consumer Goods,IoT,12,IOT-Network,IOT-App,2000
SWOT,IoT,12,IOT-Network,IOT-App,2000
Success Weakness Opportunities and Threats Analysis,IoT,12,IOT-Network,IOT-App,2000
Unmanned Aerial Vehicle,CH,14,IOT-Network,IOT-Network,2000
Unmanned Aerial System,CH,14,IOT-Network,IOT-Network,2000
Wireless Sensor Network,CH,14,IOT-Network,IOT-Network,2000
Cluster Head Election,CH,14,IOT-Network,IOT-Network,2000
Security,CH,14,EPS-Grid,IOT-Network,2000
blockchain,IoT,17,IOT-Network,IOT-App,2000
AWS IoT,IoT,36,IOT-Network,IOT-App,2000
WSN Metrics,WSN,12,IOT-Network,IOT-Network,2000
Smart City,WSN,12,IOT-Network,IOT-Network,2000
IoT Security,WSN,12,IOT-Network,IOT-Network,2000
Intrusion Detection,WSN,12,IOT-Network,IOT-Network,2000
WSN Security Treatment,WSN,12,IOT-Network,IOT-Network,2000
Adaptive Services,IoT,12,IOT-Network,IOT-App,2000
User Profile,IoT,12,IOT-Network,IOT-App,2000
Deep Learning,IoT,25,IOT-Network,IOT-App,2000
Wi-Fi radar,Wi-Fi,20,IOT-Network,IOT-Network,2000
collapsed structure,Wi-Fi,20,IOT-Network,IOT-Network,2000
coverage,Wi-Fi,20,IOT-Network,IOT-Network,2000
crack sensor,RFID,12,IOT-Network,IOT-Network,2000
RFID on metal,RFID,12,IOT-Network,IOT-Network,2000
robust chipless RFID,RFID,12,IOT-Network,IOT-Network,2000
SHM,RFID,12,IOT-Network,IOT-Network,2000
structural health monitoring,RFID,12,IOT-Network,IOT-Network,2000
RFID tags,RFID,12,IOT-App,IOT-Network,2000
Temperature sensor,RFID,12,IOT-Network,IOT-Network,2000
UHF communication,RFID,12,IOT-Network,IOT-Network,2000
security,intrusion detection system,13,EPS-Source,IOT-Network,2000
data veracity,IoT,12,IOT-Network,IOT-App,2000
unsupervised learning,IoT,12,IOT-Network,IOT-App,2000
Fog,IoT,12,IOT-Network,IOT-App,2000
End-edge-cloud Network Architecture,IoT,12,IOT-Network,IOT-App,2000
Smart Classroom,IoT,12,IOT-Network,IOT-App,2000
IoT,network slicing,18,IOT-App,IOT-Network,2000
5G,MEC,16,IOT-App,IOT-Network,2000
IoT,MEC,18,IOT-App,IOT-Network,2000
Cloud Services,MEC,12,IOT-Network,IOT-Network,2000
Video Surveillance,MEC,12,IOT-Network,IOT-Network,2000
media access control,IoT,11,IOT-Network,IOT-App,2000
energy efficiency,5G,12,IOT-Network,IOT-App,2000
power splitting,IoT,15,IOT-Network,IOT-App,2000
relaying,IoT,12,IOT-Network,IOT-App,2000
Internet of vehicles,IoV,14,IOT-Network,IOT-App,2000
energy efficiency,MEC,11,IOT-Network,IOT-Network,2000
security,5G,12,EPS-Source,IOT-App,2000
Security in 5G,5G,14,IOT-Network,IOT-App,2000
5G Mobile Wireless Networks,5G,14,IOT-Network,IOT-App,2000
IDS,5G,14,IOT-Network,IOT-App,2000
Intrusion detection System,5G,14,IOT-Network,IOT-App,2000
Network Slicing,network slicing,12,IOT-Network,IOT-Network,2000
Energy Consumption,IoT,24,IOT-Network,IOT-App,2000
Resource Allocation,IoT,13,IOT-Network,IOT-App,2000
reinforcement learning,IoT,11,IOT-Network,IOT-App,2000
Wi-Fi Halow,Wi-Fi,14,IOT-Network,IOT-Network,2000
C-RAN,IoT,22,IOT-Network,IOT-App,2000
IoT platforms,IoT,18,IOT-Network,IOT-App,2000
augmented reality,IoT,11,IOT-Network,IOT-App,2000
energy efficient,IoT,15,IOT-Network,IOT-App,2000
IPv6 proxy,IPv6,12,IOT-Network,EPS-Store,2000
Big data,IPv6,12,IOT-Network,EPS-Store,2000
Data mining,IPv6,12,IOT-Network,EPS-Store,2000
Smart health,IPv6,12,IOT-Network,EPS-Store,2000
Matching Game,IoT,11,IOT-Network,IOT-App,2000
latency,IoT,20,IOT-Network,IOT-App,2000
Computation offloading,IoT,20,IOT-Network,IOT-App,2000
joint communication and computation optimization,IoT,12,IOT-Network,IOT-App,2000
on-demand resource allocation,IoT,12,IOT-Network,IOT-App,2000
Keywords Auto-ID,RFID,12,IOT-Network,IOT-Network,2000
EPC,RFID,12,IOT-Network,IOT-Network,2000
ISO,RFID,12,IOT-Network,IOT-Network,2000
line of sight,RFID,12,IOT-Network,IOT-Network,2000
real time locating system,RFID,12,IOT-Network,IOT-Network,2000
standardization,RFID,12,IOT-Network,IOT-Network,2000
tracking Introduction (Heading 1),RFID,12,IOT-Network,IOT-Network,2000
GDPR,IoT,11,IOT-Network,IOT-App,2000
Threat Detection,IoT,12,IOT-Network,IOT-App,2000
MQTT protocol,IoT,15,IOT-Network,IOT-App,2000
iot honeypot,IoT,12,IOT-Network,IOT-App,2000
threat detection,IoT,12,IOT-Network,IOT-App,2000
system security,IoT,12,IOT-Network,IOT-App,2000
unmanned aerial vehicles,IoT,12,IOT-Compute,IOT-App,2000
channel models,IoT,12,IOT-Compute,IOT-App,2000
cyber-physical networks,IoT,20,IOT-Compute,IOT-App,2000
Business models,MGs,12,IOT-Compute,IOT-Compute,2000
Electricity tariffs,MGs,12,IOT-Compute,IOT-Compute,2000
renewable energy sources,DG,12,EPS-Source,EPS-Source,2000
wind turbines,DG,12,IOT-Compute,EPS-Source,2000
voltage source converter,VSC,11,IOT-Compute,IOT-Compute,2000
Wireless IoT smart meter,IoT,12,IOT-App,IOT-App,2000
HBase,IoT,12,IOT-App,IOT-App,2000
Stuck-at,IoT,12,IOT-App,IOT-App,2000
Smart meter,smart energy system,16,EPS-Source,IOT-App,2000
Smart grid,smart energy system,16,EPS-Source,IOT-App,2000
Smart cities,smart energy system,16,IOT-App,IOT-App,2000
IoT,smart energy system,16,IOT-App,IOT-App,2000
ICT,smart energy system,16,IOT-App,IOT-App,2000
HAN,smart energy system,16,IOT-App,IOT-App,2000
NAN,smart energy system,16,IOT-App,IOT-App,2000
WAN,smart energy system,16,IOT-App,IOT-App,2000
Demand response management,SG,12,IOT-App,IOT-App,2000
Flow management,SG,12,IOT-App,IOT-App,2000
Software-defined networks,SG,12,IOT-App,IOT-App,2000
Stackelberg game,SG,12,IOT-App,IOT-App,2000
Virtual controllers,SG,12,IOT-App,IOT-App,2000
Intrusion detection,IoT,12,IOT-App,IOT-App,2000
edge computing,DNN,12,IOT-App,IOT-App,2000
ICT architectures,IoT,15,IOT-App,IOT-App,2000
Atrial fibrillation,ECG,15,IOT-App,IOT-App,2000
ECG signal processing,ECG,15,IOT-App,IOT-App,2000
features extraction,ECG,15,IOT-App,IOT-App,2000
WBSN,ECG,15,IOT-App,IOT-App,2000
5G and beyond networks,IoT,14,IOT-App,IOT-App,2000
named data networks,IoT,14,IOT-App,IOT-App,2000
wildfire management,IoT,14,IOT-App,IOT-App,2000
Energy optimization,IoT,12,IOT-App,IOT-App,2000
Smart communities,IoT,12,IOT-App,IOT-App,2000
Activities of daily living,IoT,12,IOT-App,IOT-App,2000
Wireless sensors network,IoT,12,IOT-App,IOT-App,2000
Sensors' activation scheduling algorithm,IoT,12,IOT-App,IOT-App,2000
Internet of Things,HAL,16,EPS-Source,IOT-App,2000
Traffic,HAL,16,IOT-App,IOT-App,2000
Data acquisition,HAL,16,IOT-App,IOT-App,2000
Feature extraction,HAL,16,IOT-App,IOT-App,2000
Information processing,HAL,16,IOT-App,IOT-App,2000
Industry 4,Industry 4.0,22,IOT-App,IOT-App,2000
0,Industry 4.0,26,IOT-App,IOT-App,2000
Internet of Things,HDPCR,12,EPS-Source,IOT-App,2000
Heterogeneous wireless sensor networks,HDPCR,12,IOT-App,IOT-App,2000
Area coverage,HDPCR,12,IOT-App,IOT-App,2000
Magnetoresistive sensor,MR,16,IOT-App,IOT-App,2000
research and development (R&D) guide,MR,16,IOT-App,IOT-App,2000
roadmap,MR,16,IOT-App,IOT-App,2000
smart living,MR,16,IOT-App,IOT-App,2000
Internet of Things,MR,16,EPS-Source,IOT-App,2000
Data offloading,IoT,12,IOT-App,IOT-App,2000
Backscatter modulation,BM,15,IOT-App,IOT-App,2000
performance evaluation,BM,15,IOT-App,IOT-App,2000
negative resistance,BM,15,IOT-App,IOT-App,2000
reflection amplifier,BM,15,IOT-App,IOT-App,2000
bidirectional amplifier,BM,15,IOT-App,IOT-App,2000
read-write backscatter tag,BM,15,IOT-App,IOT-App,2000
RFID tags,BM,15,IOT-App,IOT-App,2000
geometric representation,BM,15,IOT-App,IOT-App,2000
feature selection,IoT,12,IOT-App,IOT-App,2000
IoT,GUI,15,IOT-App,IOT-App,2000
Industrial IoT,Internet of Things,18,IOT-App,EPS-Source,2000
Automation,Internet of Things,18,IOT-App,EPS-Source,2000
Wearable Sensors,Internet of Things,12,IOT-App,EPS-Source,2000
Thing speak,Internet of Things,18,IOT-App,EPS-Source,2000
Connected health,IoT,12,IOT-App,IOT-App,2000
IoT,recurrent neural networks,11,IOT-App,IOT-App,2000
Arrhythmia,ECG,15,IOT-App,IOT-App,2000
atrial fibrillation,ECG,15,IOT-App,IOT-App,2000
convolutional neural network,ECG,15,IOT-App,IOT-App,2000
electrocardiogram,ECG,15,IOT-App,IOT-App,2000
artificial intelligence of things,ECG,15,IOT-App,IOT-App,2000
wearable device,ECG,15,IOT-App,IOT-App,2000
application,ECG,15,IOT-App,IOT-App,2000
cloud server,ECG,15,IOT-App,IOT-App,2000
smart city application,IoT,15,IOT-App,IOT-App,2000
micro service,IoT,20,IOT-App,IOT-App,2000
dynamic resource management,IoT,15,IOT-App,IOT-App,2000
continuous monitoring,IoT,14,IOT-App,IOT-App,2000
waste management,IoT,12,IOT-App,IOT-App,2000
search engine,IoT,14,IOT-App,IOT-App,2000
challenges and research opportunities,IoT,14,IOT-App,IOT-App,2000
data mining and analytics,IoT,14,IOT-App,IOT-App,2000
GSM module,LPG,14,IOT-App,IOT-App,2000
gas sensor,LPG,14,IOT-App,IOT-App,2000
load sensor,LPG,14,IOT-App,IOT-App,2000
Arduino Uno R3,LPG,14,IOT-App,IOT-App,2000
internet of things,LPG,14,EPS-Store,IOT-App,2000
IoT,RDCM,12,IOT-App,IOT-App,2000
WSN,RDCM,12,IOT-Network,IOT-App,2000
data collection,RDCM,12,IOT-App,IOT-App,2000
energy consumption,RDCM,12,EPS-Store,IOT-App,2000
multivariate sensors,RDCM,12,IOT-App,IOT-App,2000
PSO,IoT,12,IOT-App,IOT-App,2000
machine learning,ML,13,IOT-App,IOT-App,2000
Internet of Things,ML,15,EPS-Source,IOT-App,2000
testing platform,wireless sensor networks,21,IOT-App,EPS-Store,2000
heterogeneity,wireless sensor networks,21,IOT-App,EPS-Store,2000
optimization,MEC,13,EPS-Store,IOT-Network,2000
Antenna measurements,5G,12,IOT-App,IOT-App,2000
Instruments,5G,12,IOT-App,IOT-App,2000
Battery charge measurement,5G,12,IOT-App,IOT-App,2000
Power measurement,5G,12,IOT-App,IOT-App,2000
Batteries,5G,12,IOT-App,IOT-App,2000
IoT communication,IoT,11,IOT-App,IOT-App,2000
URLLC,IoT,22,IOT-App,IOT-App,2000
Pricing mechanism,IoT,15,IOT-App,IOT-App,2000
loT network providers,IoT,15,IOT-App,IOT-App,2000
Complementary services,IoT,15,IOT-App,IOT-App,2000
Security protocols,5G,12,IOT-App,IOT-App,2000
Quantum hash function,5G,12,IOT-App,IOT-App,2000
Quantum walks,5G,12,IOT-App,IOT-App,2000
efficiency,IoT,17,IOT-App,IOT-App,2000
Real-time wireless networks,D-2-PaS,12,IOT-App,IOT-App,2000
disturbances,D-2-PaS,12,IOT-App,IOT-App,2000
distributed and dynamic packet scheduling,D-2-PaS,12,IOT-App,IOT-App,2000
5G,UAVs,11,IOT-App,IOT-App,2000
Energy-harvesting,WSN,12,IOT-App,IOT-Network,2000
Routing,WSN,12,IOT-App,IOT-Network,2000
Heterogeneity,WSN,12,IOT-App,IOT-Network,2000
Wireless ad hoc network,IoT,12,IOT-App,IOT-App,2000
Spectrum sensing,IoT,12,IOT-App,IOT-App,2000
Medium access control,IoT,18,IOT-App,IOT-App,2000
RF fingerprinting,IoT,22,IOT-App,IOT-App,2000
Data forwarding,IoT,14,IOT-App,IOT-App,2000
energy harvesting,WPT,14,IOT-App,IOT-App,2000
congestion control,5G,20,IOT-App,IOT-App,2000
unmanned aerial vehicle,UAVs,13,IOT-App,IOT-App,2000
edge computing,Internet of Things,14,IOT-App,EPS-Source,2000
Machine learning,ML,13,IOT-App,IOT-App,2000
machine learning,5G,18,IOT-App,IOT-App,2000
decision tree algorithm,5G,18,IOT-App,IOT-App,2000
C4.5,5G,18,IOT-App,IOT-App,2000
machine learning,DT,11,IOT-App,IOT-App,2000
communication constraints,IoT,12,IOT-App,IOT-App,2000
decentralized application,IoT,12,IOT-App,IOT-App,2000
Internet of Things technology,Internet of Things,13,IOT-App,EPS-Source,2000
Role-based access control,IoT,12,IOT-App,IOT-App,2000
Cooperative RBAC,IoT,12,IOT-App,IOT-App,2000
Collaboration IoT-based RBAC,IoT,12,IOT-App,IOT-App,2000
Cooperative trust evaluation,IoT,12,IOT-App,IOT-App,2000
Massive IoT application,IoT,12,IOT-App,IOT-App,2000
LoRa modulation,LoRa,30,IOT-App,IOT-App,2000
coverage probability,LoRa,18,IOT-App,IOT-App,2000
SNR and SIR thresholds,LoRa,18,IOT-App,IOT-App,2000
network capacity planning,LoRa,18,IOT-App,IOT-App,2000
Energy analysis,IoT,16,IOT-App,IOT-App,2000
PV monitoring,IoT,18,IOT-App,IOT-App,2000
low-cost solutions,IoT,18,IOT-App,IOT-App,2000
LoRa technology,IoT,18,IOT-App,IOT-App,2000
Task offloading,IoT,13,IOT-App,IOT-App,2000
UAV-aided edge computing,IoT,13,IOT-App,IOT-App,2000
energy minimization,IoT,13,IOT-App,IOT-App,2000
bit allocation,IoT,13,IOT-App,IOT-App,2000
trajectory optimization,IoT,13,IOT-App,IOT-App,2000
Software defined networking,IoT,32,IOT-App,IOT-App,2000
Network functions virtualization,IoT,15,IOT-App,IOT-App,2000
Wireless communication,LoRa,12,IOT-App,IOT-App,2000
Chirp modulation,LoRa,12,IOT-App,IOT-App,2000
Low-power electronics,LoRa,12,IOT-App,IOT-App,2000
Performance evaluation,LoRa,12,IOT-App,IOT-App,2000
Crowdsensing,IoT,12,IOT-App,IOT-App,2000
Authentication,IoV,12,IOT-App,IOT-App,2000
VANETs,IoV,14,IOT-App,IOT-App,2000
MANET,IoV,14,IOT-App,IOT-App,2000
Unmanned aerial vehicles,UAVs,13,IOT-App,IOT-App,2000
Trajectory,UAVs,13,IOT-App,IOT-App,2000
www,IoT,24,IOT-App,IOT-App,2000
org,IoT,24,IOT-App,IOT-App,2000
0,IoT,13,IOT-App,IOT-App,2000
w3,IoT,18,IOT-App,IOT-App,2000
Computer architecture,IoT,15,IOT-App,IOT-App,2000
online algorithm,IoT,12,IOT-App,IOT-App,2000
multi-armed bandit,IoT,12,IOT-App,IOT-App,2000
wireless power transfer,WPT,14,IOT-App,IOT-App,2000
green IoT,IoT,16,IOT-App,IOT-App,2000
Narrow-band IoT,IoT,21,IOT-App,IOT-App,2000
Sensor Mesh Networks,IoT,21,IOT-App,IOT-App,2000
IoT offload metrics,IoT,12,IOT-App,IOT-App,2000
offload processing,IoT,12,IOT-App,IOT-App,2000
resource-aware recommendation,IoT,12,IOT-App,IOT-App,2000
offload-oriented mobile cloud,IoT,12,IOT-App,IOT-App,2000
cloud computing platforms,IoT,15,IOT-App,IOT-App,2000
fuzzy adaptive PID,IoT,15,IOT-App,IOT-App,2000
Zig Bee,IoT,15,IOT-App,IOT-App,2000
MATLAB software,IoT,15,IOT-App,IOT-App,2000
Cluster of Sensors,IoT,12,IOT-App,IOT-App,2000
Computing performance analysis,IoT,12,IOT-App,IOT-App,2000
Mobile cellular communication,IoT,20,IOT-App,IOT-App,2000
data rates,IoT,20,IOT-App,IOT-App,2000
frequency,IoT,20,IOT-App,IOT-App,2000
3G,IoT,20,IOT-App,IOT-App,2000
4G and 5G,IoT,20,IOT-App,IOT-App,2000
Digital twin,DT,12,IOT-App,IOT-App,2000
virtual reality,DT,15,IOT-App,IOT-App,2000
robot control,DT,12,IOT-App,IOT-App,2000
mobile networks,DT,12,IOT-App,IOT-App,2000
network security,DT,12,EPS-Store,IOT-App,2000
Wearable device,CR,16,IOT-App,IOT-App,2000
medical Internet of Things,CR,16,IOT-App,IOT-App,2000
cardiac management,CR,16,IOT-App,IOT-App,2000
reflectance photo-plethysmography,CR,16,IOT-App,IOT-App,2000
motion artifacts,CR,16,IOT-App,IOT-App,2000
cardiac rehabilitation exercise,CR,16,IOT-App,IOT-App,2000
heart rate,CR,16,IOT-App,IOT-App,2000
Big data,Industry 4.0,12,IOT-Network,IOT-App,2000
CPS,Industry 4.0,12,IOT-App,IOT-App,2000
Data mining,Industry 4.0,12,IOT-Network,IOT-App,2000
Apriori algorithm,Industry 4.0,12,IOT-App,IOT-App,2000
Distributed Ledger Technology,IoT,13,IOT-App,IOT-App,2000
Attribute-Based Approach,IoT,14,IOT-App,IOT-App,2000
Sensing devices access platform,IoT,12,IOT-App,IOT-App,2000
resource description model,IoT,12,IOT-App,IOT-App,2000
adaptive access method,IoT,12,IOT-App,IOT-App,2000
learning (artificial intelligence),IoT,13,IOT-App,IOT-App,2000
IoT forensics,IoT,17,IOT-App,IOT-App,2000
Probing,IoT,17,IOT-App,IOT-App,2000
Network telescopes,IoT,17,IOT-App,IOT-App,2000
Network forensics,IoT,17,IOT-App,IOT-App,2000
L1-norm PCA,IoT,17,IOT-App,IOT-App,2000
Forensics,IoT,15,IOT-App,IOT-App,2000
Satellite broadcasting,IoT,18,IOT-App,IOT-App,2000
Distance measurement,IoT,18,IOT-App,IOT-App,2000
dimensionality reduction,IoT,18,IOT-App,IOT-App,2000
